2009,勝率,勝,敗,分,試合数,得点,得点平均,失点,失点平均,打率,本塁打,本塁打平均,盗塁,盗塁平均,防御率
巨人,0.659,89,46,9,144,650,4.513888889,493,0.758461538,0.275,182,1.263888889,84,0.583333333,2.94
中日,0.566,81,62,1,144,605,4.201388889,508,0.839669421,0.258,136,0.944444444,81,0.5625,3.17
ヤクルト,0.497,71,72,1,144,548,3.805555556,606,1.105839416,0.259,116,0.805555556,106,0.736111111,3.97
阪神,0.479,67,73,4,144,548,3.805555556,534,0.974452555,0.255,106,0.736111111,79,0.548611111,3.28
広島,0.464,65,75,4,144,528,3.666666667,575,1.089015152,0.245,101,0.701388889,77,0.534722222,3.59
横浜,0.354,51,93,0,144,497,3.451388889,685,1.378269618,0.239,128,0.888888889,51,0.354166667,4.36
中日,0.56,79,62,3,144,539,3.743055556,521,0.966604824,0.259,119,0.826388889,53,0.368055556,3.29
阪神,0.553,78,63,3,144,740,5.138888889,640,0.864864865,0.29,173,1.201388889,71,0.493055556,4.05
巨人,0.552,79,64,1,144,711,4.9375,617,0.867791842,0.266,226,1.569444444,96,0.666666667,3.89
ヤクルト,0.514,72,68,4,144,617,4.284722222,621,1.006482982,0.268,124,0.861111111,66,0.458333333,3.85
広島,0.408,58,84,2,144,596,4.138888889,732,1.228187919,0.263,104,0.722222222,119,0.826388889,4.8
横浜,0.336,48,95,1,144,521,3.618055556,743,1.426103647,0.255,117,0.8125,59,0.409722222,4.88
中日,0.56,75,59,10,144,419,2.909722222,410,0.978520286,0.228,82,0.569444444,41,0.284722222,2.46
ヤクルト,0.543,70,59,15,144,484,3.361111111,504,1.041322314,0.244,85,0.590277778,43,0.298611111,3.36
巨人,0.534,71,62,11,144,471,3.270833333,417,0.885350318,0.243,108,0.75,106,0.736111111,2.61
阪神,0.493,68,70,6,144,482,3.347222222,443,0.919087137,0.255,80,0.555555556,62,0.430555556,2.83
広島,0.441,60,76,8,144,439,3.048611111,496,1.129840547,0.245,52,0.361111111,65,0.451388889,3.22
横浜,0.353,47,86,11,144,423,2.9375,587,1.387706856,0.239,78,0.541666667,31,0.215277778,3.87
巨人,0.667,86,43,15,144,534,3.708333333,354,0.662921348,0.256,94,0.652777778,102,0.708333333,2.16
中日,0.586,75,53,16,144,423,2.9375,405,0.957446809,0.245,70,0.486111111,59,0.409722222,2.58
ヤクルト,0.511,68,65,11,144,499,3.465277778,514,1.03006012,0.26,90,0.625,63,0.4375,3.35
広島,0.462,61,71,12,144,427,2.965277778,454,1.06323185,0.233,76,0.527777778,79,0.548611111,2.72
阪神,0.423,55,75,14,144,411,2.854166667,438,1.065693431,0.236,58,0.402777778,65,0.451388889,2.65
DeNA,0.351,46,85,13,144,422,2.930555556,571,1.353080569,0.233,65,0.451388889,61,0.423611111,3.76
巨人,0.613,84,53,7,144,597,4.145833333,508,0.850921273,0.262,145,1.006944444,90,0.625,3.21
阪神,0.521,73,67,4,144,531,3.6875,488,0.919020716,0.255,82,0.569444444,81,0.5625,3.07
広島,0.489,69,72,3,144,557,3.868055556,554,0.994614004,0.248,110,0.763888889,112,0.777777778,3.46
中日,0.454,64,77,3,144,526,3.652777778,599,1.13878327,0.245,111,0.770833333,57,0.395833333,3.81
DeNA,0.448,64,79,1,144,630,4.375,686,1.088888889,0.262,132,0.916666667,54,0.375,4.5
ヤクルト,0.407,57,83,4,144,577,4.006944444,682,1.181975737,0.253,134,0.930555556,70,0.486111111,4.26
巨人,0.573,82,61,1,144,596,4.138888889,552,0.926174497,0.257,144,1,102,0.708333333,3.58
